ano;sg_uf;territorio;populacao;fonte_populacao
2015;SC;Santa Catarina;6819190;IBGE/TCU série 2001-2019
2015;RS;Rio Grande do Sul;11247972;IBGE/TCU série 2001-2019
2015;MS;Mato Grosso do Sul;2651235;IBGE/TCU série 2001-2019
2015;MT;Mato Grosso;3265486;IBGE/TCU série 2001-2019
2015;GO;Goiás;6610681;IBGE/TCU série 2001-2019
2015;DF;Distrito Federal;2914830;IBGE/TCU série 2001-2019
2016;RO;Rondônia;1787279;IBGE/TCU série 2001-2019
2016;AC;Acre;816687;IBGE/TCU série 2001-2019
2016;AM;Amazonas;4001667;IBGE/TCU série 2001-2019
2016;RR;Roraima;514229;IBGE/TCU série 2001-2019
2016;PA;Pará;8272724;IBGE/TCU série 2001-2019
2016;AP;Amapá;782295;IBGE/TCU série 2001-2019
2016;TO;Tocantins;1532902;IBGE/TCU série 2001-2019
2016;MA;Maranhão;6954036;IBGE/TCU série 2001-2019
2016;PI;Piauí;3212180;IBGE/TCU série 2001-2019
2016;CE;Ceará;8963663;IBGE/TCU série 2001-2019
2016;RN;Rio Grande do Norte;3474998;IBGE/TCU série 2001-2019
2016;PB;Paraíba;3999415;IBGE/TCU série 2001-2019
2016;PE;Pernambuco;9410336;IBGE/TCU série 2001-2019
2016;AL;Alagoas;3358963;IBGE/TCU série 2001-2019
2016;SE;Sergipe;2265779;IBGE/TCU série 2001-2019
2016;BA;Bahia;15276566;IBGE/TCU série 2001-2019
2016;MG;Minas Gerais;20997560;IBGE/TCU série 2001-2019
2016;ES;Espírito Santo;3973697;IBGE/TCU série 2001-2019
2016;RJ;Rio de Janeiro;16635996;IBGE/TCU série 2001-2019
2016;SP;São Paulo;44749699;IBGE/TCU série 2001-2019
2016;PR;Paraná;11242720;IBGE/TCU série 2001-2019
